"","keyword","salary"
"30","게임개발,게임기획·마케팅,BM·브랜드매니저,게임마케팅,마케팅전략·기획,시장조사·분석,온라인마케팅","면접후 결정"
"31","게임개발,게임기획·마케팅,C#,C·C++,Java,게임개발,서버구축","면접후 결정"
"32","게임개발,게임기획·마케팅,게임개발,서버구축","면접후 결정"
"33","게임개발,게임기획·마케팅,게임마케팅,마케팅전략·기획,시장조사·분석,온라인마케팅,해외마케팅","면접후 결정"
"34","게임개발,게임기획·마케팅,게임마케팅,마케팅전략·기획,시장조사·분석,온라인마케팅,해외마케팅","면접후 결정"
"35","게임개발,게임기획·마케팅,QA·베타테스터,게임개발","면접후 결정"
"36","자동차부품,금형","4,000~5,000만원"
"37","게임개발,게임기획·마케팅,CS,게임개발,고객상담,고객응대,고객지원","면접후 결정"
"38","유아용품,의류매장,잡화매장,판매,화장품매장,병원코디네이터,야간당직자,원무행정,전화교환·안내,접수·수납·예약","2,600~2,800만원"
"39","1군건설,건설현장,건설회사,건축,시공사,건물·빌딩관리,건설안전,건설현장,견습·조공·보조,보수·철거,산업안전,설계감리,시설관리,안전,일용직","3,200~3,400만원"
"40","게임개발,게임기획·마케팅,QA·베타테스터,게임개발","면접후 결정"
"41","게임개발,게임기획·마케팅,QA·베타테스터,게임개발","면접후 결정"
"42","게임개발,게임기획·마케팅,게임개발,게임기획","면접후 결정"
"43","연구소,연구원,연구·실험·기술","회사내규에 따름"
"44","게임개발,게임기획·마케팅,게임기획,사업기획,사업제휴,서비스기획,타당성분석","면접후 결정"
"45","섬유,무역경리·회계,무역사무,무역영어,섬유·원단,중국어","면접후 결정"
"46","게임개발,게임기획·마케팅,QA·베타테스터,게임개발","면접후 결정"
"47","게임개발,게임기획·마케팅,게임기획,사업기획,사업제휴,서비스기획,타당성분석","면접후 결정"
"48","쇼핑몰,HTML  ,게시판관리,사이트운영,쇼핑몰·오픈마켓,온라인마케팅,일러스트레이터,카페·블로그관리,컨텐츠운영,포토샵,플래쉬","회사내규에 따름"
"49","게임개발,게임기획·마케팅,AWS,게임개발","면접후 결정"
"50","어학원,영어학원,TESOL·CELTA,어학원강사,영어,영어회화,토익RC·LC","150"
"51","게임개발,게임기획·마케팅,CS·고객지원","면접후 결정"
"52","게임개발,게임기획·마케팅,게임개발,데이타마이닝,빅데이터","면접후 결정"
"53","게임개발,게임기획·마케팅,CS·고객지원","면접후 결정"
"54","피부과,병원코디네이터","2,200~2,400만원"
"55","자동차부품,금형,와이어컷팅","3,800~4,000만원"
"56","게임개발,게임기획·마케팅,CS·고객지원","면접후 결정"
"57","게임개발,게임기획·마케팅,게임개발,게임마케팅,사업기획,사업제휴,타당성분석","면접후 결정"
"58","게임개발,게임기획·마케팅,게임개발,보안관제,보안기술,정보보안","면접후 결정"
"59","게임개발,게임기획·마케팅,3D·모델링·모션,게임디자인,원화·일러스트,캐릭터·아이템","면접후 결정"
"60","게임개발,게임기획·마케팅,3D·모델링·모션,원화·일러스트,캐릭터·아이템","면접후 결정"
"61","게임개발,게임운영,3D,캐릭터","면접후 결정"
"62","게임개발,게임기획·마케팅,3D·모델링·모션,게임디자인","면접후 결정"
"63","성형외과,고객응대,고객지원,병원코디네이터,안내데스크,접수·수납·예약","면접후 결정"
"64","게임개발,게임운영,3D,캐릭터","면접후 결정"
"65","솔루션업체,CTO","면접후 결정"
"66","한방병원,간호조무사,한의원","면접후 결정"
"67","운송·운수,육상운송,창고·보관,항공운송,제약연구·개발","회사내규에 따름"
"68","한방병원,간호조무사,한의원","2,000~2,200만원"
"69","인터넷교육,C#,C++Builder,Java,Linux,QA·테스터,VisualC·C++,서버구축,시스템운영","면접후 결정"
"70","의류매장,네트워크관리","회사내규에 따름"
"71","기계,기계조립","회사내규에 따름"
"72","의류매장,쇼핑몰·오픈마켓,온라인마케팅,홈쇼핑·쇼핑몰","회사내규에 따름"
"73","자동제어,전기설계,회로설계,전기·전자회로,전기설계","회사내규에 따름"
"74","대형마트,편의점,생산,서비스,제조·가공,카운터,캐셔","2,200~2,400만원"
"75","소프트웨어개발,C#,Java,VisualC·C++","회사내규에 따름"
"76","의류매장,BM·브랜드매니저,광고,마케팅전략·기획,프로모션","회사내규에 따름"
"77","건축설계·CAD,리모델링,실내건축,인테리어,건축CAD,공간디자인,실내건축,실내디자인,인테리어,인테리어설계","면접후 결정"
"78","레저,스포츠,레크리에이션,생활체육,스키강사,스포츠","면접후 결정"
"79","의류매장,BM·브랜드매니저,광고,마케팅전략·기획,시장조사·분석,프로모션","회사내규에 따름"
"80","금속,금속가공,용접,절삭·절곡(벤딩)","2,800~3,000만원"
"81","피부관리,미용·뷰티","1,800~2,000만원"
"82","도료,유기합성,화공,화학,일반영업","면접후 결정"
"83","어학원,기타외국어","회사내규에 따름"
"84","학습지,교육상담·안내,유치원교사,프로그램상담,학습지교사","면접후 결정"
"85","한의원,한의원","면접후 결정"
"86","어학원,기타외국어","회사내규에 따름"
"87","매니지먼트,엔터테인먼트,연예,연예기획사,캐스팅매니저","1,800~2,000만원"
"88","도료,유기합성,품질관리,품질보증","면접후 결정"
"89","어학원,교육상담·안내,수강생관리,원생관리·유치,프로그램상담,학원운영","면접후 결정"
"90","도료,유기합성,화학·섬유","면접후 결정"
"91","판매,물류,물류센터,상품입출고,유통","2,600~2,800만원"
"92","의약·제약,BM·브랜드매니저,광고,마케팅전략·기획,시장조사·분석,프로모션","회사내규에 따름"
"93","기타제조업,생산관리,자재관리","2,600~2,800만원"
"94","디자인회사,그래픽디자인,일러스트레이터,제품디자인,캐릭터,팬시·문구","면접후 결정"
"95","어학원,기타외국어","회사내규에 따름"
"96","디자인회사,게시판관리,경리,사무보조,일러스트레이터,전산입력·편집,판매관리,홈페이지관리","면접후 결정"
"97","성형외과,TM,고객관리,고객상담,고객응대","면접후 결정"
"98","성형외과,마케팅전략·기획,번역,온라인마케팅,일본어,입소문·바이럴,통역,해외마케팅","면접후 결정"
"99","일식당,요리사,일식","면접후 결정"
"100","성형외과,미용·뷰티,피부관리·에스테틱","회사내규에 따름"
"101","입시학원,수학,전임강사,파트강사","면접후 결정"
"102","전자,품질보증","8,000~9,000만원"
"103","전자출판,출판사,편집,시나리오작가,작가·평론가,출판·편집기획,편집·교정·교열","회사내규에 따름"
"104","놀이공원,레저,수영장,스포츠,테마파크,사무직,전산직","2,600~2,800만원"
"105","네트웍구축,웹서비스기획","회사내규에 따름"
"106","네일아트,메이크업,애견미용,피부관리,헤어샵,네일아트,두피·탈모,미용·뷰티,샴푸도우미,헤어디자이너","회사내규에 따름"
"107","정형외과,간호조무사","1,400 만원 이하"
"108","네일아트,네일아트","10000"
"109","병원·진료,성형외과,병원코디네이터","회사내규에 따름"
"110","식품·푸드,음식료,한식당,요리사,조리사,홀서빙","3,000~3,200만원"
